Kategorija,id,Naslov,Ogledi,Glasovi,Število odgovorov,Ima sprejet odgovor,Avtor,Čas objave
highest-score,942263,Really advanced techniques of integration (definite or indefinite),63208,329,22,True,user3002473,"Sep 23, 2014 at 0:21"
highest-score,21792,Norms Induced by Inner Products and the Parallelogram Law,96014,324,5,True,Hans Parshall,"Feb 13, 2011 at 4:37"
highest-score,1594740,"V.I. Arnold says Russian students can&#39;t solve this problem, but American students can -- why?",55090,322,10,True,Eli Rose,"Dec 31, 2015 at 5:41"
highest-score,76491,Multiple-choice question about the probability of a random answer to itself being correct,94156,318,6,True,,"Oct 27, 2011 at 22:20"
highest-score,112067,How discontinuous can a derivative be?,34074,313,1,True,Chris Janjigian,"Feb 22, 2012 at 16:19"
highest-score,223235,Please explain the intuition behind the dual problem in optimization.,76974,312,8,False,littleO,"Oct 29, 2012 at 3:23"
highest-score,139503,"In the history of mathematics, has there ever been a mistake?",35554,311,28,False,Steven-Owen,"May 1, 2012 at 17:35"
highest-score,96331,"In Russian roulette, is it best to go first?",81090,308,5,False,nikkita,"Jan 4, 2012 at 12:38"
highest-score,513239,"One question to know if the number is 1, 2 or 3",63849,306,40,True,,
highest-score,49229,Why can ALL quadratic equations be solved by the quadratic formula?,50598,306,22,False,idonno,"Jul 3, 2011 at 16:10"
highest-score,514,Conjectures that have been disproved with extremely large counterexamples?,67540,305,21,True,Justin L.,"Jul 22, 2010 at 20:49"
highest-score,1833459,Math without pencil and paper,26992,304,15,False,Jeroen,"Jun 20, 2016 at 16:21"
highest-score,24241,Why do mathematicians use single-letter variables?,26381,302,27,False,eater,"Feb 28, 2011 at 15:09"
highest-score,2667980,Why does this innovative method of subtraction from a third grader always work?,37310,300,18,False,user535429,"Feb 26, 2018 at 19:52"
highest-score,260656,Can&#39;t argue with success? Looking for &quot;bad math&quot; that &quot;gets away with it&quot;,22903,299,48,False,,
highest-score,8814,Funny identities [closed],27502,298,63,True,,
highest-score,166869,Is &#39;$10$&#39; a magical number or I am missing something?,34745,294,11,True,Shubham,"Jul 5, 2012 at 5:39"
highest-score,384861,Is mathematics one big tautology?,28570,293,24,True,,
highest-score,2072308,Help with a prime number spiral which turns 90 degrees at each prime,12941,290,14,False,Karl,"Dec 26, 2016 at 10:06"
highest-score,671076,Is $7$ the only prime followed by a cube?,32296,289,5,True,David Starkey,"Feb 10, 2014 at 16:25"
highest-score,38517,In (relatively) simple words: What is an inverse limit?,34200,287,6,True,Asaf Karagila,"May 11, 2011 at 18:11"
highest-score,860294,How does one prove the determinant inequality $\det\left(6(A^3+B^3+C^3)+I_{n}\right)\ge 5^n\det(A^2+B^2+C^2)$?,16337,285,3,False,math110,"Jul 8, 2014 at 16:41"
highest-score,364452,"Evaluate $\int_{0}^{\frac{\pi}2}\frac1{(1+x^2)(1+\tan x)}\,\Bbb dx$",25835,284,5,False,juantheron,"Apr 17, 2013 at 14:04"
highest-score,80246,The Mathematics of Tetris,36559,283,5,True,Eric Naslund,"Nov 8, 2011 at 16:51"
highest-score,976462,A 1400 years old approximation to the sine function by Mahabhaskariya of Bhaskara I,16085,283,6,True,Claude Leibovici,"Oct 16, 2014 at 11:29"
highest-score,23902,What is the practical difference between a differential and a derivative?,167369,279,6,False,Faqa,"Feb 26, 2011 at 21:44"
highest-score,885879,Meaning of Rays in Polar Plot of Prime Numbers,37852,278,3,True,dwymark,"Aug 2, 2014 at 22:56"
highest-score,5248,"Evaluating the integral $\int_0^\infty \frac{\sin x} x \,\mathrm dx = \frac \pi 2$?",138289,277,31,True,,"Sep 22, 2010 at 19:09"
highest-score,17152,"Given an infinite number of monkeys and an infinite amount of time, would one of them write Hamlet?",42514,277,13,True,,
highest-score,279079,How to read a book in mathematics?,76983,276,10,True,,
highest-score,78575,Derivative of sigmoid function $\sigma (x) = \frac{1}{1+e^{-x}}$,386346,275,11,True,Bryan Glazer,"Nov 3, 2011 at 14:05"
highest-score,264371,Fun but serious mathematics books to gift advanced undergraduates.,35146,274,40,False,,
highest-score,160248,Evaluating $\lim\limits_{n\to\infty} e^{-n} \sum\limits_{k=0}^{n} \frac{n^k}{k!}$,37740,273,9,True,user 1591719,"Jun 19, 2012 at 9:38"
highest-score,165696,Your favourite application of the Baire Category Theorem,41222,271,30,False,,
highest-score,82467,Eigenvectors of real symmetric matrices are orthogonal [closed],373349,271,6,True,Phonon,"Nov 15, 2011 at 21:08"
highest-score,237002,Too old to start math [closed],47341,269,28,True,,
highest-score,2855975,What is the maximum volume that can be contained by a sheet of paper?,21383,269,4,True,Jack D&#39;Aurizio,"Jul 18, 2018 at 20:32"
highest-score,2217248,&quot;Which answer in this list is the correct answer to this question?&quot;,157147,267,15,True,Bora M. Alper,"Apr 4, 2017 at 7:08"
highest-score,275310,What is the difference between linear and affine function?,223391,267,5,False,user34790,"Jan 10, 2013 at 16:49"
highest-score,61497,Why are rings called rings?,40837,265,1,True,leo,"Sep 2, 2011 at 22:13"
highest-score,3749,Why do we care about dual spaces?,57020,264,7,True,WWright,"Aug 31, 2010 at 22:47"
highest-score,2821112,&quot;Integral milking&quot;: working backward to construct nontrivial integrals,23735,263,11,False,Franklin Pezzuti Dyer,"Jun 15, 2018 at 22:24"
highest-score,94827,What books must every math undergraduate read?,104718,262,6,True,,
highest-score,2746,Is there an elementary proof that $\sum \limits_{k=1}^n \frac1k$ is never an integer?,52222,259,16,True,Anton Geraschenko,"Aug 18, 2010 at 22:49"
highest-score,255063,Why study Algebraic Geometry?,73367,258,3,True,Mohan,"Dec 10, 2012 at 2:18"
highest-score,348198,Best Fake Proofs? (A M.SE April Fools Day collection) [closed],67812,256,27,False,,
highest-score,1188845,Does the square or the circle have the greater perimeter? A surprisingly hard problem for high schoolers,66355,256,26,True,Sid,"Mar 13, 2015 at 22:36"
highest-score,2694,What is the importance of the Collatz conjecture?,100090,256,9,True,Dan Brumleve,"Aug 18, 2010 at 7:47"
highest-score,253910,The Integral that Stumped Feynman?,31764,256,4,False,Argon,"Dec 8, 2012 at 18:24"
highest-score,65967,"Can you answer my son&#39;s fourth-grade homework question: Which numbers are prime, have digits adding to ten and have a three in the tens place?",13574,254,7,False,JDH,"Sep 20, 2011 at 2:51"
highest-score,546155,Proof that the trace of a matrix is the sum of its eigenvalues,271062,253,8,True,JohnK,"Oct 30, 2013 at 22:11"
highest-score,209241,Exterior Derivative vs. Covariant Derivative vs. Lie Derivative,38609,253,10,True,Michael Albanese,"Oct 8, 2012 at 13:59"
highest-score,1808523,What are some examples of when Mathematics &#39;accidentally&#39; discovered something about the world?,48934,251,26,False,Trogdor,"Jun 1, 2016 at 16:22"
highest-score,412423,What are the Differences Between a Matrix and a Tensor?,149588,248,8,False,Aurelius,"Jun 5, 2013 at 21:52"
highest-score,370,Good books and lecture notes about category theory.,81282,247,28,True,,
highest-score,2040811,What are some counter-intuitive results in mathematics that involve only finite objects?,36127,245,35,False,Burak,"Dec 2, 2016 at 19:27"
highest-score,13575,Teaching myself differential topology and differential geometry,87753,245,10,False,Harddaysknight,"Dec 8, 2010 at 22:42"
highest-score,728069,Is this really a categorical approach to integration?,14399,245,1,False,Shaun,"Mar 26, 2014 at 19:20"
highest-score,83721,When can a sum and integral be interchanged?,145352,244,3,False,user192837,"Nov 19, 2011 at 19:08"
highest-score,60766,What is the result of $\infty - \infty$?,181592,242,11,False,Pacerier,"Aug 30, 2011 at 18:16"
highest-score,17776,Inverse of the sum of matrices,421484,241,13,True,Tomek Tarczynski,"Jan 16, 2011 at 20:48"
highest-score,15240,When can you switch the order of limits?,90951,240,6,True,asmeurer,"Dec 22, 2010 at 20:26"
highest-score,66029,$L^p$ and $L^q$ space inclusion,154262,236,7,False,Confused,"Sep 20, 2011 at 10:11"
highest-score,146910,Does the open mapping theorem imply the Baire category theorem?,10802,236,2,True,t.b.,"May 19, 2012 at 3:33"
highest-score,365005,How do I sell out with abstract algebra?,38317,232,11,True,,
highest-score,736346,How can a piece of A4 paper be folded in exactly three equal parts?,67259,231,13,True,Nicky Hekster,"Apr 2, 2014 at 9:39"
highest-score,1686156,"In simple English, what does it mean to be transcendental in math?",24647,231,11,True,AlanSTACK,"Mar 6, 2016 at 22:10"
highest-score,190111,How to check if a point is inside a rectangle?,222623,231,24,True,Freewind,"Sep 2, 2012 at 17:46"
highest-score,132703,What does $2^x$ really mean when $x$ is not an integer?,14028,229,10,True,David G,"Apr 16, 2012 at 21:53"
highest-score,243049,How do I convince someone that $1+1=2$ may not necessarily be true?,47021,229,4,True,Aces12345,"Nov 23, 2012 at 9:15"
highest-score,1541800,Why does this matrix give the derivative of a function?,16368,229,6,True,ASKASK,"Nov 22, 2015 at 21:43"
highest-score,433193,Is there a 0-1 law for the theory of groups?,8387,229,2,False,Dominik,"Jun 30, 2013 at 20:26"
highest-score,1475,Why can a Venn diagram for $4+$ sets not be constructed using circles?,85950,228,4,False,Larry Wang,"Aug 3, 2010 at 22:09"
highest-score,93729,How many fours are needed to represent numbers up to $N$?,11437,228,4,False,David Bevan,"Dec 23, 2011 at 17:53"
highest-score,92230,"Proving you *can&#39;t* make $2011$ out of $1,2,3,4$: nice twist on the usual",18103,227,2,True,Kevin Buzzard,"Dec 17, 2011 at 12:40"
highest-score,9286,Evaluation of Gaussian integral $\int_{0}^{\infty} \mathrm{e}^{-x^2} dx$,166517,226,21,True,Jichao,"Nov 7, 2010 at 16:33"
highest-score,94620,What do modern-day analysts actually do?,26597,224,5,True,Jesse Madnick,"Dec 28, 2011 at 4:13"
highest-score,37398,What is the geometric interpretation of the transpose?,60360,224,6,False,Zed,"May 6, 2011 at 12:02"
highest-score,20661,The sum of an uncountable number of positive numbers,48927,224,5,True,Benji,"Feb 6, 2011 at 6:56"
highest-score,485822,Why is compactness so important?,30389,223,13,True,FireGarden,"Sep 6, 2013 at 15:28"
highest-score,359693,Overview of basic results about images and preimages,97388,222,4,False,,
highest-score,232220,Optimizing response times of an ambulance corp: short-term versus average,9977,222,16,True,Laurence,"Nov 7, 2012 at 16:11"
highest-score,340233,Transpose of inverse vs inverse of transpose,379925,221,7,True,Void Star,"Mar 25, 2013 at 0:52"
highest-score,1794123,Do men or women have more brothers?,39320,221,18,False,layman,"May 21, 2016 at 13:19"
highest-score,765198,Some users are mind bogglingly skilled at integration. How did they get there?,32902,219,4,True,JessicaK,"Apr 22, 2014 at 23:34"
highest-score,649408,Is computer science a branch of mathematics?,66969,218,13,True,user107952,"Jan 24, 2014 at 0:03"
highest-score,320220,"Intuitively, what is the difference between Eigendecomposition and Singular Value Decomposition?",129003,217,8,True,user541686,"Mar 4, 2013 at 6:36"
highest-score,30749,"What is a good complex analysis textbook, barring Ahlfors&#39;s?",165252,215,29,False,,
highest-score,661855,Is it faster to count to the infinite going one by one or two by two? [closed],37843,214,22,True,Thomas Ayoub,"Feb 3, 2014 at 10:13"
highest-score,1290291,"Identification of a quadrilateral as a trapezoid, rectangle, or square",17583,213,15,True,The Chaz 2.0,"May 19, 2015 at 22:17"
highest-score,622,Importance of Representation Theory,29797,213,9,False,Eric O. Korman,"Jul 24, 2010 at 2:42"
highest-score,1634488,How could we define the factorial of a matrix?,16905,212,7,True,,"Jan 31, 2016 at 13:56"
highest-score,242779,Limit of $L^p$ norm,91053,212,4,True,Parakee,"Nov 22, 2012 at 19:51"
highest-score,2140493,Counterintuitive examples in probability,44023,211,32,True,MR_BD,"Feb 12, 2017 at 7:29"
highest-score,329,Books on Number Theory for Layman,122215,210,32,True,,
highest-score,1996120,Are $14$ and $21$ the only &quot;interesting&quot; numbers?,24091,210,1,True,Simon Parker,"Nov 2, 2016 at 14:27"
highest-score,13054,How to show $e^{e^{e^{79}}}$ is not an integer,15191,210,2,True,Carl Mummert,"Dec 5, 2010 at 2:47"
highest-score,5595,Taking Seats on a Plane,133536,209,24,True,crasic,"Sep 27, 2010 at 20:15"
highest-score,1002459,Do we have negative prime numbers?,87568,209,7,True,,"Nov 2, 2014 at 12:27"
highest-score,17966,How can we sum up $\sin$ and $\cos$ series when the angles are in arithmetic progression?,107713,207,8,True,Quixotic,"Jan 18, 2011 at 9:53"
highest-score,1041623,&quot;Advice to young mathematicians&quot; [closed],19498,207,9,True,Dal,"Nov 27, 2014 at 22:04"
highest-score,18843,List of interesting math videos / documentaries,41235,207,34,False,,
highest-score,2949,Which one result in mathematics has surprised you the most? [closed],60100,206,91,False,,
highest-score,31785,How many sides does a circle have?,515306,205,14,True,Fixee,"Apr 8, 2011 at 19:26"
highest-score,243533,How to intuitively understand eigenvalue and eigenvector?,160973,205,7,True,Jill Clover,"Nov 24, 2012 at 4:18"
highest-score,1267268,Why can&#39;t differentiability be generalized as nicely as continuity?,9327,203,6,True,GPerez,"May 4, 2015 at 23:12"
highest-score,20555,Are there any series whose convergence is unknown?,39615,202,8,True,pseudosudo,"Feb 5, 2011 at 17:30"
highest-score,2027182,How do we prove that something is unprovable?,27583,202,8,True,polfosol,"Nov 23, 2016 at 12:04"
highest-score,1,What Does it Really Mean to Have Different Kinds of Infinities?,14051,202,9,True,Allain Lalonde,"Jul 20, 2010 at 19:09"
highest-score,438,Why $\sqrt{-1 \cdot {-1}} \neq \sqrt{-1}^2$?,20662,201,14,True,Wilhelm,"Jul 22, 2010 at 4:05"
highest-score,580521,"Generalizing $\int_{0}^{1} \frac{\arctan\sqrt{x^{2} + 2}}{\sqrt{x^{2} + 2}} \, \frac{\operatorname dx}{x^{2}+1} = \frac{5\pi^{2}}{96}$",9540,201,3,False,Sangchul Lee,"Nov 25, 2013 at 12:51"
highest-score,180418,Calculate Rotation Matrix to align Vector $A$ to Vector $B$ in $3D$?,406677,200,21,True,user1084113,"Aug 8, 2012 at 21:03"
highest-score,262828,Using proof by contradiction vs proof of the contrapositive,116005,200,6,True,Kasper,"Dec 20, 2012 at 19:01"
highest-score,945871,Derivative of Softmax loss function,208231,199,1,True,Moos Hueting,"Sep 25, 2014 at 16:43"
highest-score,29450,Convergence of the series $\sum\limits_{n=1}^{\infty} \frac1{n^p}$ for $p &gt; 1$,44783,197,13,True,admchrch,"Mar 28, 2011 at 6:55"
highest-score,200393,What is $dx$ in integration?,95664,197,12,True,Sachin Kainth,"Sep 21, 2012 at 17:35"
highest-score,427634,A Topology such that the continuous functions are exactly the polynomials,7893,197,5,False,Dominik,"Jun 23, 2013 at 16:00"
highest-score,31725,Intuition behind Matrix Multiplication,81122,196,14,True,Happy Mittal,"Apr 8, 2011 at 12:41"
highest-score,81,List of Interesting Math Blogs [closed],75272,196,22,False,,
highest-score,893875,Sorting of prime gaps,6026,196,0,False,daniel,"Aug 11, 2014 at 11:03"
highest-score,675522,What&#39;s the intuition behind Pythagoras&#39; theorem?,37524,195,16,True,,
highest-score,160738,"How to define a bijection between $(0,1)$ and $(0,1]$?",69105,195,9,True,user1411893,"Jun 20, 2012 at 11:52"
highest-score,127500,What is the difference between &quot;singular value&quot; and &quot;eigenvalue&quot;?,235605,195,7,False,Ramon,"Apr 3, 2012 at 3:19"
highest-score,736654,Can a coin with an unknown bias be treated as fair?,18977,194,25,True,Andrew Cheong,"Apr 2, 2014 at 14:27"
highest-score,61482,Proving the identity $\sum_{k=1}^n {k^3} = \big(\sum_{k=1}^n k\big)^2$ without induction,22116,192,31,True,Fernando Martin,"Sep 2, 2011 at 21:06"
highest-score,292275,What are examples of functions with &quot;very&quot; discontinuous derivative? [duplicate],129083,192,2,False,user58273,"Feb 1, 2013 at 18:35"
highest-score,101062,Is the product of two Gaussian random variables also a Gaussian?,292465,192,7,True,jamaicanworm,"Jan 21, 2012 at 18:46"
highest-score,332908,Looking for an intuitive explanation why the row rank is equal to the column rank for a matrix,82245,191,26,True,hari_sree,"Mar 17, 2013 at 16:20"
highest-score,62212,Good book for self study of a First Course in Real Analysis,220960,190,29,False,,
highest-score,1392505,"How do people perform mental arithmetic for complicated expressions? (In particular, $\frac{10^2+11^2+12^2+13^2+14^2}{365}$)",16318,188,21,True,Vlad,"Aug 10, 2015 at 22:58"
highest-score,1736483,There are apparently $3072$ ways to draw this flower. But why?,20347,188,9,True,user265554,"Apr 10, 2016 at 19:43"
highest-score,113270,The median minimizes the sum of absolute deviations (the $ {\ell}_{1} $ norm),128337,188,12,True,hattenn,"Feb 25, 2012 at 16:48"
highest-score,283,Is $0$ a natural number?,131650,188,10,True,bryn,"Jul 21, 2010 at 7:42"
highest-score,10282,An Introduction to Tensors,39193,187,6,True,Noldorin,"Nov 14, 2010 at 19:22"
highest-score,1754860,Does every ring of integers sit inside a ring of integers that has a power basis?,4911,187,0,False,Eins Null,"Apr 22, 2016 at 23:54"
highest-score,6244,Is there a quick proof as to why the vector space of $\mathbb{R}$ over $\mathbb{Q}$ is infinite-dimensional?,61602,186,7,True,Elchanan Solomon,"Oct 7, 2010 at 2:10"
highest-score,40149,Intuition of the meaning of homology groups,34824,186,8,True,Spyam,"May 19, 2011 at 20:29"
highest-score,221152,Can we ascertain that there exists an epimorphism $G\rightarrow H$?,6475,186,2,False,Kerry,"Oct 25, 2012 at 21:39"
highest-score,1653979,Is there any integral for the Golden Ratio?,20321,185,53,True,,"Feb 14, 2016 at 2:57"
highest-score,3510,How to prove Euler&#39;s formula: $e^{it}=\cos t +i\sin t$?,172889,185,18,True,Jichao,"Aug 28, 2010 at 4:17"
highest-score,1537,Why is Euler&#39;s Gamma function the &quot;best&quot; extension of the factorial function to the reals?,21270,185,8,True,pbrooks,"Aug 4, 2010 at 15:01"
highest-score,2076565,What were some major mathematical breakthroughs in 2016? [closed],15253,185,6,False,,
highest-score,223252,Why is gradient the direction of steepest ascent?,109319,184,14,True,Jing,"Oct 29, 2012 at 3:55"
highest-score,75,"What are the differences between rings, groups, and fields?",141990,184,6,True,cobbal,"Jul 20, 2010 at 19:55"
highest-score,268789,Symmetry of function defined by integral,9568,184,6,True,Ron Gordon,"Jan 1, 2013 at 20:38"
highest-score,426325,Evaluate $\int_0^1 \frac{\log \left( 1+x^{2+\sqrt{3}}\right)}{1+x}\mathrm dx$,46429,183,4,True,Shobhit Bhatnagar,"Jun 21, 2013 at 16:56"
highest-score,4467,"How to prove: if $a,b \in \mathbb N$, then $a^{1/b}$ is an integer or an irrational number?",48242,183,14,True,,"Sep 12, 2010 at 11:24"
highest-score,7473,"Prove that $\gcd(a^n - 1, a^m - 1) = a^{\gcd(n, m)} - 1$",57083,183,12,False,,"Oct 22, 2010 at 0:47"
highest-score,387234,How far can one get in analysis without leaving $\mathbb{Q}$?,11382,183,10,True,Alexander Gruber,"May 10, 2013 at 4:02"
highest-score,116026,Is $2048$ the highest power of $2$ with all even digits (base ten)?,18274,183,3,True,Brian Rothstein,"Mar 3, 2012 at 17:35"
highest-score,50521,Open problems in General Relativity,21613,182,2,True,Benjamin,"Jul 9, 2011 at 15:39"
highest-score,2384287,"How do you revise material that you already half-know, without getting bored and demotivated?",13446,182,14,False,goblin GONE,"Aug 6, 2017 at 8:30"
highest-score,4202,Induction on Real Numbers,37240,182,7,True,Baju,"Sep 7, 2010 at 11:39"
highest-score,20397,Striking applications of integration by parts,30771,181,22,False,,
highest-score,30046,"Alternative notation for exponents, logs and roots?",56600,181,17,False,friedo,"Mar 31, 2011 at 1:45"
highest-score,1985,Software for drawing geometry diagrams,211659,180,26,True,,
highest-score,10490,Why is $1^{\infty}$ considered to be an indeterminate form,35905,180,9,True,,"Nov 15, 2010 at 22:40"
highest-score,389146,Proof of $\frac{1}{e^{\pi}+1}+\frac{3}{e^{3\pi}+1}+\frac{5}{e^{5\pi}+1}+\ldots=\frac{1}{24}$,9868,178,7,True,danodare,"May 12, 2013 at 5:57"
highest-score,70974,Lesser-known integration tricks,45673,177,10,False,,
highest-score,390708,Proof that ${\left(\pi^\pi\right)}^{\pi^\pi}$ (and now $\pi^{\left(\pi^{\pi^\pi}\right)}$) is a noninteger.,36977,177,2,True,MJD,"May 13, 2013 at 19:47"
highest-score,523027,"A math contest problem $\int_0^1\ln\left(1+\frac{\ln^2x}{4\,\pi^2}\right)\frac{\ln(1-x)}x \ \mathrm dx$",16167,176,6,True,Vladimir Reshetnikov,"Oct 11, 2013 at 23:22"
highest-score,54431,Why do people use &quot;it is easy to prove&quot;?,17287,176,9,False,,
highest-score,33094,Deleting any digit yields a prime... is there a name for this?,29020,176,6,True,Fixee,"Apr 15, 2011 at 4:07"
highest-score,31838,What is the best book to learn probability?,283599,176,13,True,,
highest-score,221137,What is the difference between Fourier series and Fourier transformation?,243440,175,7,True,Dean,"Oct 25, 2012 at 21:20"
highest-score,2633847,Mathematical ideas that took long to define rigorously,20759,174,19,False,Yly,"Feb 3, 2018 at 7:57"
highest-score,3742825,Why is the Penrose triangle &quot;impossible&quot;?,10084,174,6,True,,"Jul 2, 2020 at 17:43"
highest-score,331103,Intuitive explanation of entropy,59346,174,17,True,jjepsuomi,"Mar 15, 2013 at 10:09"
highest-score,169521,Is there a categorical definition of submetry?,3563,174,1,False,,"Jul 11, 2012 at 16:14"
highest-score,785,General formula for solving quartic (degree $4$) equations,365809,173,15,True,John Gietzen,"Jul 27, 2010 at 18:31"
highest-score,280530,Can you provide me historical examples of pure mathematics becoming &quot;useful&quot;?,31790,172,34,False,,
highest-score,183361,Examples of bijective map from $\mathbb{R}^3\rightarrow \mathbb{R}$,58619,172,3,True,Myshkin,"Aug 16, 2012 at 20:01"
highest-score,30687,The square roots of different primes are linearly independent over the field of rationals,31377,172,4,False,user8465,"Apr 3, 2011 at 17:39"
highest-score,25090,What&#39;s the significance of Tate&#39;s thesis?,21962,171,1,True,Akhil Mathew,"Mar 5, 2011 at 1:47"
highest-score,265780,How to determine with certainty that a function has no elementary antiderivative?,23987,171,1,True,hesson,"Dec 27, 2012 at 6:09"
highest-score,317882,Is there a homology theory that counts connected components of a space?,6567,171,1,False,Dejan Govc,"Mar 1, 2013 at 14:17"
highest-score,492326,Rational roots of polynomials,4825,171,1,False,user84673,"Sep 13, 2013 at 5:52"
